Publicerings-id,Konto-id,"Kontots användarnamn",Kontonamn,Beskrivning,"Varaktighet (sek)",Publiceringstid,Permalänk,Inläggstyp,Datakommentar,Datum,Visningar,Räckvidd,Gilla-markeringar,Delningar,Följer,Kommentarer,"Sparade objekt"
17865116523505359,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Moderaten Ragnar Gustavii har gjort karriär inom näringslivet och fick sparken från Swedbanks ledning efter bankens penningtvätthärva 2019. Nu tar han över som ordförande i miljö- och byggnämnden.
▪️
Han har ingen direkt erfarenhet av planärenden, men känner ett stort stöd för från det egna partiet och från samarbetspartnern Socialdemokraterna inför nya uppdraget.
▪️
”För gotlänningar är det här en jätteviktig fråga, då måste man vara väldigt omsorgsfull och omtänksam i de besluten”, säger han.

Hör mer på sverigesradio.se/gotland eller i appen Sveriges Radio.",0,"02/24/2026 22:23",https://www.instagram.com/p/DVK7HvICMw8/,"IG image",,Livstid,3445,2279,6,1,0,0,2
18084062657192078,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Lowe Rogersdotter vann silvermedalj på en fridykningstävling i Polen. Jag träffade henne på Solbergabadet när hon berättade om sporten som handlar om att dyka djupt och hålla andan så länge som möjligt. Här tränar hon med sin monofena i Solbergabadet/Mari",42,"02/24/2026 00:35",https://www.instagram.com/reel/DVIkyfUiHMQ/,"IG reel",,Livstid,5758,3702,71,11,0,4,0
18048894890687840,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Vill du höras i Sveriges största radiokanal? ✨ Då är P4 Nästa Stjärna rätt tävling för dig! Ansökningsperioden börjar den 11 maj – så börja knåpa på din låt redan nu. 🎵

Läs mer här: https://www.sverigesradio.se/p4-nasta-stjarna",27,"02/23/2026 23:56",https://www.instagram.com/reel/DVIg9q6Atkg/,"IG reel",,Livstid,2322,1623,7,1,0,0,1
17913374418324101,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Regeringen ger inga svar om varför beslutet om nationalparken vid Bästeträsk dröjer. Under tiden färdigställs parken, med grusgångar, parkeringar och entréer.
🌳
Karolina Johansson är projektledare på länsstyrelsens och har jobbat i sex år, bland annat med att planera vandringsleder. ”De går ju att använda oavsett om det står nationalpark på skylten eller inte”, säger hon.
🌳
Men hon vill inte spekulera i vad det beror på att parken inte kan invigas som väntat.

Hör hela inslaget på sverigesradio.se/gotland eller i appen Sveriges Radio.",0,"02/22/2026 22:32",https://www.instagram.com/p/DVFyf9UiIQI/,"IG image",,Livstid,4018,2556,30,1,0,0,2
18096869557759468,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","I dag toppade elpriset på över fem kronor per kilowattimme. 💡 Hur sparar du ström – för att hålla nere elräkningen?

Foto: Gorm Kallestad/TT",0,"02/19/2026 02:05",https://www.instagram.com/p/DU732wiFTUw/,"IG image",,Livstid,2376,1464,10,0,0,0,1
17864289183505969,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Psykisk ohälsa ligger bakom allt fler sjukskrivningar i landet. Men på Gotland minskar andelen – och är nu lägst i Sverige.
▪️
Enligt Johanna Havdelin, processledare för försäkringsmedicin på Region Gotland, har regionen satsat medvetet på att minska sjukskrivningarna genom alternativa vårdformer.
▪️
Drygt 38 procent av sjukskrivningarna i regionen är i dag kopplade till psykisk ohälsa, vilket Inger Johansson, ordförande för Nationell Samverkan för Psykisk Hälsa (NSPH) Gotland, ändå menar är för högt.
▪️
Foto: privat",0,"02/18/2026 22:04",https://www.instagram.com/p/DU7cCU8CGW8/,"IG image",,Livstid,4358,2637,32,0,0,0,2
18113254483650848,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Runt om på Gotland har träsk och havsvikar frysts till is och det lockar ut folk på isarna. Men det gäller att ha koll på säkerheten. 

🧊 Tord Turesson, länskonsulent på Svenska Livräddningssällskapet på Gotland, säger att det viktigaste är att kontrollera isen noga med ispiken.

🧊Och det räcker inte med att känna med ispiken en gång, varnar han.",0,"02/18/2026 10:13",https://www.instagram.com/p/DU6K3lqjoZg/,"IG image",,Livstid,5979,3607,48,9,0,0,3
18097643881937080,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Ny vattenrening för 125 miljoner behövs redan i juni för att inte riskera nya kokrekommendationer i Visby. Bland annat ska ultrafilter ta bort virus, bakterier, parasiter och plankton ur dricksvattnet.
💧
”Här och nu behöver vi höja våra säkerhetsmarginaler”, säger VA-utvecklare Jonas Carlsson. Filtren är en tillfällig lösning som ska säkra vattenkvalitén i upp till tio år.
💧
På längre sikt ska vattenverket i södra Visby rustas upp förklarar Jonas Carlsson.",0,"02/17/2026 22:25",https://www.instagram.com/p/DU45pVjCBlJ/,"IG image",,Livstid,4905,3032,38,4,0,0,4
18120553351606334,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Efter många turer har bulhuset och den gamla kiosken vid Södertorg i Visby innerstad plockats ner. Tanken är att de kulturhistoriska byggnaderna ska byggas upp igen på samma plats.
▪️
Ola Nyström jobbar som byggnadsantikvarie och efter att bulhuset plockats ner bit för bit, ska han restaurera delarna och därefter bygga ihop det igen.
▪️
Enligt fastighetsägaren ska allt vara återställt till sommaren – men från Region Gotlands sida finns vissa frågetecken när det gäller husens rivningslov.
▪️
Foto: Linnea Nilsson/Sveriges Radio",0,"02/16/2026 22:19",https://www.instagram.com/p/DU2UAIgCAkO/,"IG image",,Livstid,5747,3334,41,2,0,0,3
18094866448987640,17841400158108477,p4gotland,"P4 Gotland Sveriges Radio","Stulna julbocken sadlar om – i kärlekens namn
Hör mer här: https://www.sverigesradio.se/artikel/stulna-julbocken-sadlar-om-i-karlekens-namn
Foto: Hampus Andersson/Sveriges Radio",0,"02/13/2026 09:55",https://www.instagram.com/p/DUtQ4m_jLhE/,"IG image",,Livstid,5324,3140,58,1,0,0,3
